title,author,length
The Boys from Biloxi,By: John Grisham,Length: 17 hrs and 22 mins
The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
Trust (Pulitzer Prize Winner),By: Hernan Diaz,Length: 10 hrs and 21 mins
Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
Never Lie,By: Freida McFadden,Length: 7 hrs and 21 mins
Relentless,"By: Tim S. Grover, Shari Wenk",Length: 6 hrs and 38 mins
Obsessed,"By: James Patterson, James O. Born",Length: 7 hrs and 48 mins
The Alchemist,By: Paulo Coelho,Length: 4 hrs
Yellowface,By: R. F. Kuang,Length: 8 hrs and 39 mins
I Will Teach You to Be Rich,By: Ramit Sethi,Length: 12 hrs and 8 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
Only the Dead,By: Jack Carr,Length: 15 hrs and 17 mins
Dust,By: Hugh Howey,Length: 10 hrs and 53 mins
The Terminal List,By: Jack Carr,Length: 12 hrs and 3 mins
